Skill,Freelancer Count,Employer Count,Total
PHP,37,29,66
JavaScript,36,20,56
Web Development,30,16,46
API,30,10,40
SQL,29,7,36
API Integration,30,6,36
PostgreSQL,31,3,34
Database Design,32,2,34
React,29,4,33
Microsoft SQL Server,31,2,33
SQLite,33,0,33
WordPress,28,5,33
Laravel,25,7,32
CSS,25,6,31
Web Application,28,3,31
MongoDB,31,0,31
jQuery,26,4,30
Apache HTTP Server,25,3,28
HTML,21,5,26
HTML5,23,2,25
Business with 10-99 Employees,25,0,25
Business with 1-9 Employees,25,0,25
WordPress Plugin,23,1,24
CSS 3,22,2,24
Database Architecture,24,0,24
Ecommerce Website,24,0,24
Database Development,23,0,23
NGINX,22,1,23
Bootstrap,23,0,23
Custom PHP,18,5,23
Python,17,6,23
RESTful API,21,1,22
Node.js,21,1,22
Business with 100-999 Employees,22,0,22
MariaDB,21,0,21
Web Design,17,3,20
Website Optimization,20,0,20
Amazon Web Services,18,2,20
Responsive Design,20,0,20
Git,18,1,19
Website Redesign,18,0,18
RESTful Architecture,16,1,17
Database,12,4,16
SaaS,15,1,16
Google Analytics,15,1,16
Vue.js,15,0,15
API Development,14,1,15
Oracle Database,15,0,15
Full-Stack Development,13,2,15
TypeScript,15,0,15
AJAX,15,0,15
Business with 1000+ Employees,15,0,15
CodeIgniter,14,1,15
Java,7,6,13
Database Maintenance,13,0,13
Apache Tomcat,13,0,13
Next.js,12,0,12
Angular,12,0,12
Docker,11,1,12
Startup Company,12,0,12
Bug Fix,11,0,11
Database Management,10,1,11
Payment Gateway Integration,10,1,11
AngularJS,11,0,11
React Native,10,1,11
JSON,10,1,11
WooCommerce,10,1,11
Content Management System,11,0,11
C#,9,1,10
ChatGPT,10,0,10
.NET Framework,10,0,10
Platform Plugin,10,0,10
HTTP,10,0,10
Microsoft Access,10,0,10
GitLab,10,0,10
UX & UI,10,0,10
Back-End Development,10,0,10
Django,9,0,9
ASP.NET,8,1,9
Stripe,9,0,9
Bitbucket,9,0,9
Database Administration,8,1,9
GitHub,9,0,9
Azure Cosmos DB,9,0,9
Browser Extension,9,0,9
ExpressJS,8,0,8
Fortune 500 Company,8,0,8
Redis,6,2,8
ChatGPT API Integration,8,0,8
Microsoft IIS,8,0,8
WordPress Development,7,1,8
Website Security,8,0,8
Elementor,8,0,8
Microsoft Azure,8,0,8
PHP Script,7,0,7
Website,7,0,7
Customer Relationship Management,7,0,7
Database Integration,7,0,7
Landing Page,7,0,7
Firebase Realtime Database,7,0,7
AWS Lambda,7,0,7
Shopify,7,0,7
Website Migration,7,0,7
ASP.NET Core,7,0,7
Twilio API,7,0,7
Performance Optimization,7,0,7
GraphQL,7,0,7
Query Tuning,7,0,7
Desktop Application,7,0,7
OpenAI API,7,0,7
Software Maintenance,6,0,6
Data Migration,6,0,6
Amazon DynamoDB,6,0,6
Azure DevOps,6,0,6
Website Customization,6,0,6
React Bootstrap,6,0,6
ETL,6,0,6
Realm Database,5,1,6
Python Script,6,0,6
Theme Customization,6,0,6
CRM Development,6,0,6
SCSS,6,0,6
Mobile App Development,6,0,6
GPT-4 API,6,0,6
Amazon EC2,6,0,6
Google Cloud Platform,6,0,6
Symfony,4,2,6
Flask,6,0,6
Software Debugging,6,0,6
CakePHP,6,0,6
DevOps,6,0,6
SaaS Development,5,1,6
Adobe Photoshop,6,0,6
Database Report,6,0,6
Theme Development,6,0,6
Flutter,6,0,6
Linux System Administration,3,2,5
Joomla,5,0,5
Cloudflare,5,0,5
Project Analysis,5,0,5
Microsoft Power BI,4,1,5
Yii,5,0,5
AWS Amplify,5,0,5
Requirements Specification,5,0,5
Front-End Development,5,0,5
Linux,3,2,5
Tailwind CSS,5,0,5
Web Service,5,0,5
ASP.NET Web API,5,0,5
Google Chrome Extension,5,0,5
PayPal,5,0,5
Firebase Cloud Firestore,5,0,5
REST API,4,1,5
lighttpd,5,0,5
Infrastructure as Code,4,0,4
AI Agent Development,3,1,4
ASP.NET MVC,4,0,4
Sass,4,0,4
MERN Stack,4,0,4
SQL Programming,3,1,4
Theme Installation,4,0,4
Amazon Aurora,4,0,4
Ruby,4,0,4
pandas,4,0,4
SQL Server Integration Services,3,1,4
GPT-4,4,0,4
App Development,4,0,4
npm,4,0,4
Drupal,4,0,4
Database Optimization,4,0,4
Mobile App,4,0,4
Software Architecture & Design,4,0,4
Business Logic Layer,4,0,4
Artificial Intelligence,3,1,4
Google APIs,4,0,4
Vuetify,4,0,4
Automated Deployment Pipeline,4,0,4
Transact-SQL,4,0,4
WordPress Theme,4,0,4
Visual Basic for Applications,4,0,4
Kubernetes,4,0,4
Visual Basic,4,0,4
AI App Development,4,0,4
Oracle WebLogic Server,4,0,4
Elasticsearch,4,0,4
Data Modeling,3,0,3
43,3,0,3
LinkedIn Plugin,3,0,3
WildFly,3,0,3
Data Access Layer,3,0,3
Plugin,2,1,3
OpenText Gupta SQLBase,3,0,3
Microsoft SQL Server Administration,3,0,3
Microsoft SQL Server Programming,3,0,3
YouTube Plugin,3,0,3
GPT-4o,3,0,3
WordPress Customization,2,1,3
WordPress e-Commerce,3,0,3
HTML5 Boilerplate,3,0,3
GPT-3.5,3,0,3
DataTables,3,0,3
Flexbox,3,0,3
Page Speed Optimization,3,0,3
AI Development,3,0,3
D3.js,3,0,3
XML,3,0,3
+2,0,3,3
Automation,3,0,3
BootstrapVue,3,0,3
Query Development,3,0,3
Web Analytics,3,0,3
NodeJS Framework,3,0,3
Plugin Installation,3,0,3
WP Rocket,3,0,3
Agile Software Development,3,0,3
GPT API,3,0,3
BuddyPress,3,0,3
Chatbot,3,0,3
Mailchimp Plugin,3,0,3
Tableau,2,1,3
.NET Core,3,0,3
TensorFlow,3,0,3
Ubuntu,1,2,3
Query Optimization,3,0,3
Twig,3,0,3
Nuxt.js,3,0,3
CSS Grid,3,0,3
Bash Programming,3,0,3
Ansible,3,0,3
Magento,3,0,3
Slider Revolution,3,0,3
NestJS,3,0,3
CircleCI,3,0,3
AI Bot,3,0,3
Machine Learning,3,0,3
CMS Development,3,0,3
Dashboard,2,1,3
AI Model Integration,3,0,3
Query Analysis,3,0,3
Ecommerce,3,0,3
Facebook Plugin,3,0,3
Gravity Forms,3,0,3
Oracle NoSQL Database,3,0,3
Shopify Templates,3,0,3
Database Programming,1,2,3
Travis CI,3,0,3
PayPal Plugin,3,0,3
Microsoft SQL Server Compact,3,0,3
jQuery Mobile,3,0,3
SOAP API,2,0,2
n8n,1,1,2
10,2,0,2
12,2,0,2
Bitcoin,2,0,2
LevelDB,2,0,2
23,2,0,2
35,2,0,2
38,2,0,2
41,2,0,2
50,2,0,2
55,2,0,2
Data Analysis,1,1,2
Genesis Framework,2,0,2
Unix Shell,2,0,2
Redux,2,0,2
Back-End Development Framework,2,0,2
LearnDash,2,0,2
Fabric.js,2,0,2
Microsoft SQL Server Reporting Services,2,0,2
Memcached,1,1,2
Apache Geronimo,2,0,2
Gradle,2,0,2
LeSS Framework,2,0,2
Data Warehousing,2,0,2
SAP Crystal Reports,2,0,2
Mobile App Design,2,0,2
Ecommerce Website Development,2,0,2
ChatGPT API,2,0,2
"Vimeo, Inc.",2,0,2
GPT-3,2,0,2
Shopify Plus,2,0,2
PyTorch,2,0,2
Contact Form 7,2,0,2
ERP Software,2,0,2
Microsoft Excel,2,0,2
Design Enhancement,2,0,2
Dart,2,0,2
CMS Product Upload,2,0,2
bbPress,2,0,2
+4,0,2,2
C++,2,0,2
Three.js,2,0,2
XQuery,2,0,2
Instagram Plugin,2,0,2
Odoo,2,0,2
Telegram API,2,0,2
Web Application Audit,2,0,2
JSON API,2,0,2
Templates,2,0,2
Minimum Viable Product,2,0,2
Web & Mobile Design Consultation,2,0,2
Query Debugging,2,0,2
PaperDb,2,0,2
Chatbot Development,2,0,2
User Authentication,2,0,2
Software Consultation,2,0,2
WordPress Installation,2,0,2
W3 Total Cache,2,0,2
phpMyAdmin,2,0,2
WordPress Multisite,1,1,2
Custom Ecommerce Platform Development,2,0,2
UI/UX Prototyping,2,0,2
LangChain,2,0,2
Golang,2,0,2
Data Analytics,2,0,2
XHTML,2,0,2
JDBC,2,0,2
.NET Compact Framework,2,0,2
Microservice,2,0,2
Scala,2,0,2
Data Cleaning,2,0,2
Shopify Theme,2,0,2
webpack,2,0,2
Facebook JavaScript,2,0,2
Microsoft VBScript,2,0,2
Scrapy,2,0,2
Firebase,2,0,2
Payment Plugin,2,0,2
Set Up Shopify Site,2,0,2
Ruby on Rails,2,0,2
Concurrent Versions System,2,0,2
Magento 2,2,0,2
New Relic,1,1,2
Data Engineering,1,1,2
Smarty,2,0,2
Vercel,2,0,2
Google Sheets,1,1,2
Database Security,2,0,2
Plugin Development,2,0,2
Data Science,2,0,2
+1,0,2,2
PostgreSQL Programming,2,0,2
GeoAPI,2,0,2
Search Engine Optimization,2,0,2
Map Integration,2,0,2
Twitter/X Plugin,2,0,2
Oracle Rdb,2,0,2
Symfony 4,2,0,2
FuelPHP,2,0,2
Software Development,2,0,2
+8,0,2,2
Membership Plugin,2,0,2
Apache Cassandra,2,0,2
Database Modeling,1,1,2
Social Media Plugin,2,0,2
Security Management,0,2,2
Jenkins,2,0,2
Kotlin,2,0,2
PSD to WordPress,2,0,2
Oracle PLSQL,2,0,2
Divi,2,0,2
Rust,2,0,2
RabbitMQ,2,0,2
Thrive Themes,2,0,2
